date,county,state,fips,cases,deaths
5/9/2020,Autauga,Alabama,01001,68,4
5/9/2020,Baldwin,Alabama,01003,216,5
5/9/2020,Barbour,Alabama,01005,58,1
5/9/2020,Bibb,Alabama,01007,45,1
5/9/2020,Blount,Alabama,01009,44,0
5/9/2020,Bullock,Alabama,01011,22,1
5/9/2020,Butler,Alabama,01013,178,6
5/9/2020,Calhoun,Alabama,01015,124,3
5/9/2020,Chambers,Alabama,01017,314,21
5/9/2020,Cherokee,Alabama,01019,22,0
5/9/2020,Chilton,Alabama,01021,64,1
5/9/2020,Choctaw,Alabama,01023,61,0
5/9/2020,Clarke,Alabama,01025,52,1
5/9/2020,Clay,Alabama,01027,26,1
5/9/2020,Cleburne,Alabama,01029,13,1
5/9/2020,Coffee,Alabama,01031,146,0
5/9/2020,Colbert,Alabama,01033,64,2
5/9/2020,Conecuh,Alabama,01035,13,0
5/9/2020,Coosa,Alabama,01037,31,1
5/9/2020,Covington,Alabama,01039,50,1
5/9/2020,Crenshaw,Alabama,01041,38,0
5/9/2020,Cullman,Alabama,01043,63,0
5/9/2020,Dale,Alabama,01045,43,0
5/9/2020,Dallas,Alabama,01047,102,3
5/9/2020,DeKalb,Alabama,01049,142,2
5/9/2020,Elmore,Alabama,01051,135,4
5/9/2020,Escambia,Alabama,01053,36,3
5/9/2020,Etowah,Alabama,01055,170,10
5/9/2020,Fayette,Alabama,01057,7,0
5/9/2020,Franklin,Alabama,01059,216,1
5/9/2020,Geneva,Alabama,01061,13,0
5/9/2020,Greene,Alabama,01063,70,3
5/9/2020,Hale,Alabama,01065,66,2
5/9/2020,Henry,Alabama,01067,28,1
5/9/2020,Houston,Alabama,01069,104,4
5/9/2020,Jackson,Alabama,01071,59,2
5/9/2020,Jefferson,Alabama,01073,1109,60
5/9/2020,Lamar,Alabama,01075,13,0
5/9/2020,Lauderdale,Alabama,01077,88,2
5/9/2020,Lawrence,Alabama,01079,22,0
5/9/2020,Lee,Alabama,01081,422,30
5/9/2020,Limestone,Alabama,01083,57,0
5/9/2020,Lowndes,Alabama,01085,96,5
5/9/2020,Macon,Alabama,01087,47,2
5/9/2020,Madison,Alabama,01089,247,4
5/9/2020,Marengo,Alabama,01091,77,4
5/9/2020,Marion,Alabama,01093,96,7
5/9/2020,Marshall,Alabama,01095,543,8
5/9/2020,Mobile,Alabama,01097,1452,83
5/9/2020,Monroe,Alabama,01099,15,1
5/9/2020,Montgomery,Alabama,01101,576,15
5/9/2020,Morgan,Alabama,01103,92,0
5/9/2020,Perry,Alabama,01105,19,0
5/9/2020,Pickens,Alabama,01107,65,2
5/9/2020,Pike,Alabama,01109,89,0
5/9/2020,Randolph,Alabama,01111,102,6
5/9/2020,Russell,Alabama,01113,77,0
5/9/2020,St. Clair,Alabama,01115,81,1
5/9/2020,Shelby,Alabama,01117,362,17
5/9/2020,Sumter,Alabama,01119,98,4
5/9/2020,Talladega,Alabama,01121,73,2
5/9/2020,Tallapoosa,Alabama,01123,316,42
5/9/2020,Tuscaloosa,Alabama,01125,274,4
5/9/2020,Walker,Alabama,01127,106,0
5/9/2020,Washington,Alabama,01129,51,2
5/9/2020,Wilcox,Alabama,01131,80,4
5/9/2020,Winston,Alabama,01133,20,0
5/9/2020,Anchorage,Alaska,02020,194,4
5/9/2020,Bethel Census Area,Alaska,02050,1,0
5/9/2020,Fairbanks North Star Borough,Alaska,02090,83,2
5/9/2020,Juneau City and Borough,Alaska,02110,27,0
5/9/2020,Kenai Peninsula Borough,Alaska,02122,23,1
5/9/2020,Ketchikan Gateway Borough,Alaska,02130,16,0
5/9/2020,Kodiak Island Borough,Alaska,02150,1,0
5/9/2020,Matanuska-Susitna Borough,Alaska,02170,21,1
5/9/2020,Nome Census Area,Alaska,02180,1,0
5/9/2020,Petersburg Borough,Alaska,02195,3,0
5/9/2020,Prince of Wales-Hyder Census Area,Alaska,02198,2,0
5/9/2020,Sitka City and Borough,Alaska,02220,1,0
5/9/2020,Southeast Fairbanks Census Area,Alaska,02240,2,0
5/9/2020,Valdez-Cordova Census Area,Alaska,02261,1,0
5/9/2020,Yukon-Koyukuk Census Area,Alaska,02290,1,0
5/9/2020,Apache,Arizona,04001,710,10
5/9/2020,Cochise,Arizona,04003,41,1
5/9/2020,Coconino,Arizona,04005,679,55
5/9/2020,Gila,Arizona,04007,19,1
5/9/2020,Graham,Arizona,04009,19,0
5/9/2020,Greenlee,Arizona,04011,2,0
5/9/2020,La Paz,Arizona,04012,22,2
5/9/2020,Maricopa,Arizona,04013,5779,245
5/9/2020,Mohave,Arizona,04015,178,23
5/9/2020,Navajo,Arizona,04017,981,36
5/9/2020,Pima,Arizona,04019,1554,133
5/9/2020,Pinal,Arizona,04021,585,19
5/9/2020,Santa Cruz,Arizona,04023,40,0
5/9/2020,Yavapai,Arizona,04025,175,4
5/9/2020,Yuma,Arizona,04027,176,3
5/9/2020,Arkansas,Arkansas,05001,2,0
5/9/2020,Ashley,Arkansas,05003,17,0
5/9/2020,Baxter,Arkansas,05005,5,0
5/9/2020,Benton,Arkansas,05007,116,0
5/9/2020,Boone,Arkansas,05009,4,0
5/9/2020,Bradley,Arkansas,05011,11,1
5/9/2020,Carroll,Arkansas,05015,6,0
5/9/2020,Chicot,Arkansas,05017,10,0
5/9/2020,Clark,Arkansas,05019,32,0
5/9/2020,Clay,Arkansas,05021,3,0
5/9/2020,Cleburne,Arkansas,05023,72,4
5/9/2020,Cleveland,Arkansas,05025,13,0
5/9/2020,Columbia,Arkansas,05027,15,2
5/9/2020,Conway,Arkansas,05029,13,1
5/9/2020,Craighead,Arkansas,05031,92,0
5/9/2020,Crawford,Arkansas,05033,5,0
5/9/2020,Crittenden,Arkansas,05035,205,7
5/9/2020,Cross,Arkansas,05037,27,0
5/9/2020,Dallas,Arkansas,05039,1,0
5/9/2020,Desha,Arkansas,05041,16,0
5/9/2020,Drew,Arkansas,05043,19,1
5/9/2020,Faulkner,Arkansas,05045,81,2
5/9/2020,Franklin,Arkansas,05047,2,0
5/9/2020,Fulton,Arkansas,05049,3,0
5/9/2020,Garland,Arkansas,05051,118,1
5/9/2020,Grant,Arkansas,05053,15,0
5/9/2020,Greene,Arkansas,05055,22,0
5/9/2020,Hempstead,Arkansas,05057,7,1
5/9/2020,Hot Spring,Arkansas,05059,22,0
5/9/2020,Howard,Arkansas,05061,14,0
5/9/2020,Independence,Arkansas,05063,12,0
5/9/2020,Izard,Arkansas,05065,11,0
5/9/2020,Jackson,Arkansas,05067,1,0
5/9/2020,Jefferson,Arkansas,05069,226,19
5/9/2020,Johnson,Arkansas,05071,34,0
5/9/2020,Lafayette,Arkansas,05073,9,1
5/9/2020,Lawrence,Arkansas,05075,69,4
5/9/2020,Lee,Arkansas,05077,4,1
5/9/2020,Lincoln,Arkansas,05079,907,6
5/9/2020,Logan,Arkansas,05083,3,0
5/9/2020,Lonoke,Arkansas,05085,44,0
5/9/2020,Madison,Arkansas,05087,1,0
5/9/2020,Marion,Arkansas,05089,1,0
5/9/2020,Miller,Arkansas,05091,36,1
5/9/2020,Mississippi,Arkansas,05093,47,0
5/9/2020,Monroe,Arkansas,05095,4,0
5/9/2020,Montgomery,Arkansas,05097,1,0
5/9/2020,Nevada,Arkansas,05099,3,0
5/9/2020,Newton,Arkansas,05101,3,0
5/9/2020,Ouachita,Arkansas,05103,8,0
5/9/2020,Perry,Arkansas,05105,7,0
5/9/2020,Phillips,Arkansas,05107,4,1
5/9/2020,Pike,Arkansas,05109,3,0
5/9/2020,Poinsett,Arkansas,05111,25,2
5/9/2020,Polk,Arkansas,05113,7,0
5/9/2020,Pope,Arkansas,05115,47,0
5/9/2020,Prairie,Arkansas,05117,2,0
5/9/2020,Pulaski,Arkansas,05119,603,22
5/9/2020,Randolph,Arkansas,05121,21,0
5/9/2020,St. Francis,Arkansas,05123,108,0
5/9/2020,Saline,Arkansas,05125,72,1
5/9/2020,Scott,Arkansas,05127,1,0
5/9/2020,Searcy,Arkansas,05129,6,0
5/9/2020,Sebastian,Arkansas,05131,14,0
5/9/2020,Sevier,Arkansas,05133,16,1
5/9/2020,Sharp,Arkansas,05135,8,1
5/9/2020,Stone,Arkansas,05137,8,0
5/9/2020,Union,Arkansas,05139,73,1
5/9/2020,Van Buren,Arkansas,05141,28,2
5/9/2020,Washington,Arkansas,05143,105,3
5/9/2020,White,Arkansas,05145,35,1
5/9/2020,Woodruff,Arkansas,05147,1,0
5/9/2020,Yell,Arkansas,05149,7,1
5/9/2020,Alameda,California,06001,2044,72
5/9/2020,Alpine,California,06003,2,0
5/9/2020,Amador,California,06005,7,0
5/9/2020,Butte,California,06007,18,0
5/9/2020,Calaveras,California,06009,13,0
5/9/2020,Colusa,California,06011,3,0
5/9/2020,Contra Costa,California,06013,1036,32
5/9/2020,Del Norte,California,06015,3,0
5/9/2020,El Dorado,California,06017,54,0
5/9/2020,Fresno,California,06019,885,9
5/9/2020,Glenn,California,06021,6,0
5/9/2020,Humboldt,California,06023,57,0
5/9/2020,Imperial,California,06025,512,11
5/9/2020,Inyo,California,06027,20,1
5/9/2020,Kern,California,06029,1238,16
